ACC,ARI,F1,FN_count,FN_ratio,HN_count,HN_ratio,L_cluster,L_cross,L_feat,L_hn,L_recon,L_reg,L_total,L_uncert,NMI,PUR,S_mean,S_p10,S_p50,S_p90,S_std,U_size,alpha_fn,candidate_neg_size,delta_post,delta_sim,denom_fn_share,denom_safe_share,empty_cluster,epoch,fn_pair_share,gamma_mean,gamma_p10,gamma_p50,gamma_p90,gamma_std,gate,hn_beta,hn_pair_share,knn_neg_k,label_flip,lr,m_gap_p10,m_gap_p50,m_gap_p90,m_top1_p10,m_top1_p50,m_top1_p90,mean_s_post_FN,mean_s_post_nonFN,mean_sim_HN,mean_sim_safe_nonHN,min_cluster,neg_after_filter_size,neg_count,neg_mode,neg_per_anchor,neg_used_in_loss_size,pi_fn,route_count_inconsistent,route_uncertain_only,safe_neg_count,safe_ratio,sim_neg_p90,sim_neg_p99,sim_pos_p50,sim_pos_p90,stab_rate,step,temp_f,temp_l,u_mean,u_p10,u_p50,u_p90,u_std,w_hit_min_ratio,w_mean,w_mean_on_FN,w_mean_on_safe,w_min,w_p10,w_p50,w_p90,w_std
0.5424,0.3751,0.4549,1340,0.0226,1191,0.0225,0.02297,0.0,6.258332,0.000128,0.022774,0.0,6.314304,0.010099,0.4226,0.6087,,,,,,53,0.1,59132,0.0431,0.4288,0.0019,0.9981,0,26,,,,,,,0.2525,0.1,,20,0.9951,0.0001,,,,,,,0.1301,0.0871,0.413,-0.0159,42,57792,59132,batch,240.5,59132,0.1,0,1,57792,0.9774,,,,,0.0049,26,0.5,0.5,,,,,,0.0225,,0.05,1.0,0.05,,,,
0.5321,0.3665,0.4473,1318,0.0223,1172,0.0222,0.02296,0.0,6.129923,0.000259,0.022783,0.0,6.186043,0.010118,0.4164,0.6039,,,,,,52,0.1,59132,0.0477,0.4467,0.0019,0.9981,0,27,,,,,,,0.2626,0.1,,20,0.9977,0.0001,,,,,,,0.1358,0.0881,0.4315,-0.0152,25,57814,59132,batch,240.5,59132,0.1,0,1,57814,0.9777,,,,,0.0023,27,0.5,0.5,,,,,,0.0222,,0.05,1.0,0.05,,,,
0.53,0.3703,0.4506,1294,0.0218,1150,0.0217,0.022934,0.0,6.154695,0.00041,0.022801,0.0,6.212662,0.011821,0.4171,0.6059,,,,,,51,0.1,59132,0.0426,0.4452,0.0018,0.9982,0,28,,,,,,,0.2727,0.1,,20,0.8363,0.0001,,,,,,,0.1345,0.0919,0.4287,-0.0166,38,57838,59132,batch,240.5,59132,0.1,0,1,57838,0.9782,,,,,0.1637,28,0.5,0.5,,,,,,0.0218,,0.05,1.0,0.05,,,,
0.5328,0.373,0.4531,1294,0.0218,1150,0.0217,0.022966,0.0,6.191887,0.000317,0.022628,0.0,6.248599,0.010801,0.4197,0.6066,,,,,,51,0.1,59132,0.0357,0.4153,0.0019,0.9981,0,29,,,,,,,0.2828,0.1,,20,0.983,0.0001,,,,,,,0.1211,0.0854,0.3971,-0.0182,34,57838,59132,batch,240.5,59132,0.1,0,1,57838,0.9782,,,,,0.017,29,0.5,0.5,,,,,,0.0218,,0.05,1.0,0.05,,,,
0.5307,0.3728,0.4528,1269,0.0214,1128,0.0213,0.022491,0.0,6.106461,0.000338,0.022707,0.0,6.162365,0.010368,0.419,0.6073,-1.952,-4.569,-0.5576,-0.1319,2.1346,50,0.1,59132,0.0362,0.4053,0.0019,0.9981,0,30,0.0214,0.5776,0.0818,0.3277,1.2632,0.658,0.2929,0.1,0.0196,20,0.6433,0.0001,0.0144,0.0682,0.4835,0.1806,0.2352,0.6507,0.122,0.0858,0.3883,-0.017,35,57863,59132,batch,240.5,59132,0.1,0,1,57863,0.9786,0.4226,0.9844,0.7839,0.9948,0.3567,30,0.5,0.5,0.4714,0.4256,0.4844,0.4985,0.0322,0.0213,0.9801,0.05,1.0,0.05,1.0,1.0,1.0,0.1361
0.5314,0.3684,0.4489,1248,0.0211,1109,0.021,0.02262,0.0,6.013919,0.000655,0.022765,0.0,6.071146,0.011186,0.4163,0.6066,,,,,,50,0.1,59132,0.034,0.4831,0.0017,0.9983,0,31,,,,,,,0.303,0.1,,20,0.8595,0.0001,,,,,,,0.1228,0.0888,0.4653,-0.0178,30,57884,59132,batch,240.5,59132,0.1,0,1,57884,0.9789,,,,,0.1405,31,0.5,0.5,,,,,,0.021,,0.05,1.0,0.05,,,,
0.5314,0.3711,0.4514,1223,0.0207,1087,0.0206,0.022749,0.0,6.035136,0.000765,0.023109,0.0,6.092123,0.010364,0.4192,0.6087,,,,,,49,0.1,59132,0.0322,0.4832,0.0016,0.9984,0,32,,,,,,,0.3131,0.1,,20,0.6711,0.0001,,,,,,,0.1184,0.0862,0.4712,-0.012,34,57909,59132,batch,240.5,59132,0.1,0,1,57909,0.9793,,,,,0.3289,32,0.5,0.5,,,,,,0.0206,,0.05,1.0,0.05,,,,
0.5349,0.3705,0.4508,1201,0.0203,1068,0.0202,0.022406,0.0,5.82333,0.000576,0.022954,0.0,5.879548,0.010282,0.42,0.6087,,,,,,48,0.1,59132,0.0412,0.362,0.0019,0.9981,0,33,,,,,,,0.3232,0.1,,20,0.998,0.0001,,,,,,,0.1315,0.0903,0.3489,-0.0131,32,57931,59132,batch,240.5,59132,0.1,0,1,57931,0.9797,,,,,0.002,33,0.5,0.5,,,,,,0.0202,,0.05,1.0,0.05,,,,
0.5349,0.3704,0.4507,1198,0.0202,1066,0.0201,0.022385,0.0,5.857912,0.000374,0.022925,0.0,5.914944,0.011348,0.4191,0.6087,,,,,,48,0.1,59132,0.0343,0.3654,0.0019,0.9981,0,34,,,,,,,0.3333,0.1,,20,0.8579,0.0001,,,,,,,0.1225,0.0882,0.3476,-0.0177,30,57934,59132,batch,240.5,59132,0.1,0,1,57934,0.9798,,,,,0.1421,34,0.5,0.5,,,,,,0.0201,,0.05,1.0,0.05,,,,
0.5349,0.37,0.4504,1177,0.0199,1046,0.0198,0.022146,0.0,5.787643,0.00032,0.023155,0.0,5.843858,0.010593,0.419,0.6094,-1.7752,-5.0514,-0.5074,-0.0908,2.1551,47,0.1,59132,0.0398,0.3356,0.0018,0.9982,0,35,0.0199,0.6418,0.0527,0.2799,1.9592,0.9829,0.3434,0.1,0.0181,20,0.8556,0.0001,0.0079,0.0542,0.528,0.1526,0.1976,0.6616,0.1301,0.0903,0.3207,-0.0149,33,57955,59132,batch,240.5,59132,0.1,0,1,57955,0.9801,0.4006,0.9822,0.7666,0.9967,0.1444,35,0.5,0.5,0.4752,0.4234,0.4902,0.5005,0.0352,0.0198,0.9812,0.05,1.0,0.05,1.0,1.0,1.0,0.1322
